title,plot,genres
Del 1 - Män som hatar kvinnor,"Found guilty of libel, Mikael Blomkvist, the disgraced journalist working for the radical magazine Millennium, has six months to settle his affairs before serving three months in prison. It's been forty long years since the unaccountable disappearance of the then-sixteen-year-old Harriet Vanger, and now, her uncle, the powerful industrialist, Henrik Vanger, enlists his help to get to the bottom of the baffling case. But, who is watching Mikael's every move?","['Action', 'Crime', 'Mystery', 'Thriller']"
Light It Up,"On a winter day in a southside Queens high school, events collide and six students are suddenly in an armed standoff with the NYPD. At the school, classrooms freeze, teachers come and go, resources are scant. When a popular teacher is suspended, a few students protest. Jackson, a new security guard, gets tough. In a scuffle, Jackson's wounded with his own gun and a student takes him hostage. A few kids join in, for various reasons. An ineffective policewoman tries to mediate as the police plan an assault, the kids demand improvements to the school, the media pick up the story, and Jackson turns sympathetic. But are too many forces in motion for the students to stay in control?","['Drama', 'Thriller']"
54,"An anthology film retelling the story of the famous Studio 54, a hot disco hangout for the social elite of New York. The movie follows several characters at once, some of whom are in desperate straits and on the verge of crashing.","['Drama', 'Music']"
Bubble Boy,"A young man who was born without an immune system and has lived his life within a plastic bubble in his bedroom finds out that the woman he has loved since childhood is about to be married at Niagara Falls, so he builds a portable bubble suit and ventures into the outside world to win her affections.","['Adventure', 'Comedy', 'Romance', 'Sci-Fi']"
Birthday Girl,"Internet love connections and mail-order brides rarely ever work out, and John should have known. Having never been lucky in the game of love and tired of waiting for the perfect woman to come along, John decides to take his chances and orders a mail-order bride from Russia online. At first, things seem perfect: his new bride Nadia is a gorgeous woman, and although she may not speak much English, her skills in the bedroom more than make up for any communication problems. When Nadia's 'cousins' unexpectedly arrive to celebrate her birthday, John is drawn into their web of corruption and crime.","['Comedy', 'Crime', 'Thriller']"
21 & Over,"When Straight-A college student Jeff Chang's two best friends take him out for his 21st birthday on the night before an important medical school interview, what was supposed to be a quick beer becomes a night of humiliation, over indulgence and utter debauchery.",['Comedy']
"Paris, I Love You","'Paris, Je T'aime] is about the plurality of cinema in one mythic location: Paris, the City of Love. 20 filmmakers have five minutes each; the audience must weave a single narrative out of twenty moments. The 20 moments are fused by transitional interstitial sequences and also via the introduction and epilogue. Each transition begins with the last shot of the previous film and ends with the first shot of the following film, extending the enchantment and the emotion of the previous segment, preparing the audience for a surprise, and providing a cohesive atmosphere. A reappearing mysterious character is a witness to the Parisian life. A common theme of Paris and love fuses all.","['Comedy', 'Drama', 'Romance']"
Resurrecting the Champ,"A young journalist comes to the aid of a homeless man who claims he is a former heavy weight title contender. Seeing a chance to redeem his struggling career, the writer's story of the champ's life raises questions about the past that will threaten all he holds dear.","['Drama', 'Sport']"
Admission,"Straitlaced Princeton University admissions officer Portia Nathan (Tina Fey) is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, freewheeling John Pressman (Paul Rudd). Pressman has surmised that Jeremiah (Nat Wolff), his gifted yet unconventional student, might well be the son that Portia secretly gave up for adoption many years ago. Soon, Portia finds herself bending the rules for Jeremiah, putting at risk the life she thought she always wanted--but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having.","['Comedy', 'Drama', 'Romance']"
Widow of St. Pierre,"In 1849, in the Archipelago of Saint-Pierre et Miquelon, the drunken Ariel Neel Auguste and his partner Louis Ollivier kill for a futile motive (to see if he is fat or just big) the fishing boat captain Coupard. Nell, who stabbed the victim, is sentenced to die with his head severed in the guillotine while Louis is sentenced to hard labor. During the transportation to the prison under the custody of Captain Jean, there is an accident and Louis dies. While spending his days in the cell waiting for the guillotine and the executioner, Neel is invited by the captain's wife Mrs. Pauline to help her in her garden and becomes her protégé. Later he has a process of rehabilitation helping the locals in minor works and becomes very popular in the island. When he saves the building Café du Nord and her owner from sinking in the sea, his popularity increases and nobody but the governor and politicians of the council wants his death. Neel marries Eleontine Jeanne-Marie, but sooner he is informed that the ship Marie Galante has just left Martinique bringing a guillotine. Now the Governor and politicians need to find an executioner in the population to execute the sentence.","['Drama', 'History', 'Romance']"
Chloe,"Catherine and David, she a doctor, he a professor, are at first glance the perfect couple. Happily married with a talented teenage son, they appear to have the perfect life. But when David misses a flight and his surprise birthday party, Catherine's long simmering suspicions rise to the surface. Suspecting infidelity, she decides to hire an escort to seduce her husband and test his loyalty. Catherine finds herself 'directing' Chloe's encounters with David, and Chloe's end of the bargain is to report back, the descriptions becoming increasingly graphic as the meetings multiply.","['Drama', 'Mystery', 'Thriller']"
Faithful,"For their 20th wedding anniversary, Jack gets Maggie a diamond necklace and a hit man. But when Tony shows up and, waiting for the signal from Jack in Connecticut to do the hit, he and Maggie begin to talk - perhaps Tony can come to value Maggie even more than her husband does. And when Jack shows up, things get very tricky.","['Comedy', 'Crime', 'Drama']"
Find Me Guilty,"The mobster Jackie DiNorscio is shot by his own cousin at home while on probation but survives. Later he is arrested dealing drugs and sentenced to thirty years in prison. The prosecutor Sean Kierney proposes a deal to Jackie, immediately releasing him if he testifies against the Lucchese family and other mafia families but Jackie does not accept to rat out his friends that he loves. When the trial begins, he asks the judge Finestein to defend himself without the assistance of a lawyer.","['Biography', 'Comedy', 'Crime', 'Drama']"
The Perks of Being a Wallflower,"Based on the novel written by Stephen Chbosky, this is about 15-year-old Charlie (Logan Lerman), an endearing and naive outsider, coping with first love (Emma Watson), the suicide of his best friend, and his own mental illness while struggling to find a group of people with whom he belongs. The introvert freshman is taken under the wings of two seniors, Sam and Patrick, who welcome him to the real world.",['Drama']
Excessive Force,"A group of Chicago cops are involved in a raid from which $3,000,000 disappears. The local mob go after them and the body count starts to rise. The new Chief of Police makes it clear to the last remaining officer that he will look the other way if he takes the law into his own hands. When the policeman finds he can't follow through on this someone else does and he finds himself and his girl are being hunted by more or less everyone for their own reasons.",['Action']
Infamous,"On November 16, 1959, Truman Capote reads about the murder of a the Clutter family. There's no suspects. With Harper Lee, he visits the town: he wants to write about their response. First he must get locals to talk, then, he must gain access to the prisoners. One talks constantly; the other, Perry Smith, says little. Capote's implacable, believing this book will establish a new form of reportage: he must figure out what Perry wants. Their relationship becomes something more than writer and character: Perry killed in cold blood, the state will execute him in cold blood; does Capote get his story through cold calculation, or is there a price for him to pay?","['Biography', 'Crime', 'Drama']"
The Claim,"A prospector sells his wife and daughter to another gold miner for the rights to a gold mine. Twenty years later, the prospector is a wealthy man who owns much of the old west town named Kingdom Come. But changes are brewing and his past is coming back to haunt him. A surveyor and his crew scout the town as a location for a new railroad line and a young woman suddenly appears in the town and is evidently the man's daughter.","['Drama', 'Romance', 'Western']"
The Vatican Tapes,"THE VATICAN TAPES follows the ultimate battle between good and evil - God versus Satan. Angela Holmes is an ordinary 27-year-old until she begins to have a devastating effect on anyone close, causing serious injury and death. Holmes is examined and possession is suspected, but when the Vatican is called upon to exorcise the demon, the possession proves to be an ancient satanic force more powerful than ever imagined. It's all up to Father Lozano to wage war for more than just Angela's soul, but for the world as we know it.","['Horror', 'Thriller']"
Attack the Block,"Attack the Block follows an unlucky young woman and a gang of tough inner city kids who make an unlikely alliance to try to defend their turf against an invasion of savage alien creatures, turning a South London apartment complex into an intergalactic war-zone.","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Thriller']"
In the Land of Blood and Honey,"During the Bosnian War, the captive Bosnian Ajla is brought with other women to a Serbian barrack to serve the soldiers. The commander Danijel recognizes Ajla that he met in a night-club and wooed her and he discreetly protects her. They rekindle their love, but can they trust on each other?","['Drama', 'Romance', 'War']"
The Call,"Jordan Turner (Halle Berry) is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue, but then teenager Casey Welson (Abigail Breslin) is abducted and calls 911. Jordan is the one called upon to use all of her experience, insights and quick thinking to try to help Casey escape and also to make sure the man is brought to justice.","['Drama', 'Thriller']"
Battle for Incheon: Operation Chromite,"American General Douglas MacArthur (Liam Neeson) sends eight members of the Korean Liaison Office, led by a South Korean Navy Lieutenant (Lee Jung-Jae) on a secret mission far behind North Korean lines to carry out Operation ""X-ray"". This covert operation must succeed so that MacArthur can launch the daring Incheon Landing Operation.This is a fictionalized version of the historical CIA/military intelligence operation ""Trudy Jackson"", part of Operation Chromite.","['Action', 'Drama', 'History', 'War']"
The Crocodile Hunter: Collision Course,"Aussie adventurer Steve Irwin aka The Crocodile Hunter has avoided the death-roll and nabbed another feisty croc, hoping to save it from poachers. What Steve doesn't know is that the crocodile has innocently swallowed a top secret US satellite beacon, and the poachers are actually American special agents sent to retrieve it. Crikey! In the Outback and through the bush with his wife Terri's ever-present commentary ringing out over the countryside (""That was a close one, Steve!""), the Crocodile Hunter is out to save the gorgeous croc and relocate him. It won't be easy, but if he can handle bird-eating spiders and venomous snakes without getting bitten, gun-wielding agents shouldn't be too much of a problem.","['Action', 'Adventure', 'Comedy', 'Family']"
I Love You Phillip Morris,"Steven Russell is happily married to Debbie, and a member of the local police force when a car accident provokes a dramatic reassessment of his life. Steven becomes open about his homosexuality and decides to live life to the fullest - even if it means breaking the law. Steven's new, extravagant lifestyle involves cons and fraud and, eventually, a stay in the Texas State Penitentiary where he meets sensitive, soft-spoken Phillip Morris. His devotion to freeing Phillip from jail and building the perfect life together prompts Steven to attempt and often succeed at one impossible con after another.","['Biography', 'Comedy', 'Crime', 'Drama', 'Romance']"
Quest for Fire,"Anthony Burgess created the primitive language for the early humans in this prehistoric adventure about a trio of warriors who travel the savanna, encountering sabre-toothed tigers, mammoths and cannibalistic tribes in search of a flame that would replace the fire their tribe has lost.","['Adventure', 'Drama']"
Antwone Fisher,"A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.","['Biography', 'Drama']"
The Emperor's Club,"William Hundert is a passionate and principled Classics professor who finds his tightly-controlled world shaken and inexorably altered when a new student, Sedgewick Bell, walks into his classroom. What begins as a fierce battle of wills gives way to a close student-teacher relationship, but results in a life lesson for Hundert that will still haunt him a quarter of a century later.",['Drama']
True Romance,"In Detroit, Clarence Worley goes to the movie theater alone on his birthday to watch some movies. The gorgeous Alabama Whitman accidentally drops her popcorn on Clarence and they watch the movie together. Later they go to a diner for pie, and end up having a one-night stand. In the morning, Alabama confesses that she is a call-girl hired to spend the night with him, but she has fallen in love with him. In the morning they get married and Clarence goes to the club where she works to bring her some clothes. However, her pimp Drexl Spivey and his partner beat him up--and he reacts by killing them both. Clarence asks for Alabama's suitcase with her clothes and the other girls mistakenly give him another one, which contains cocaine. When Clarence discovers the mistake, he decides to travel with Alabama to the house of his friend, aspiring actor Dick Ritchie, to sell the drugs and travel to Mexico. He visits his father Clifford Worley and gives his address to him. But the Sicilian Mafia is the owner of the drugs and a group of killers is sent to hunt down Clarence and Alabama.","['Crime', 'Drama', 'Romance', 'Thriller']"
Womb,,"['Drama', 'Romance', 'Sci-Fi']"
Glengarry Glen Ross,"The real story behind the world of sales. This is a realistic portrayal of what it is to try making a life in high pressure sales with all its highs and lows; promises of fortunes and deliveries of dross. Red-leads and dead-leads are to blame for life's outcomes. Living with ""Objection, Rebuttal, Close"".","['Crime', 'Drama', 'Mystery']"
The Killer Inside Me,"Sadism and masochism beneath a veneer of revenge. Lou Ford is a mild-mannered sheriff's deputy in a Texas oil town in the mid 1950's. His boss sends him to roust a prostitute living in a rural house. She slaps him; he hits her, then, after daily sex for the next few weeks, he decides it's love. She's devoted to him and becomes his pawn in a revenge plot she thinks is to shakedown the son of Chester Conway, the town's wealthy king of construction. Lou has a different plan, and bodies pile up as murder leads to murder. The district attorney suspects Lou, and Conway may have an inkling, but Lou stays cool. Is love, or at least peace, in the cards?","['Crime', 'Drama', 'Mystery', 'Thriller']"
Cat People,"The Cat People originated way back in time, when humans sacrificed their women to leopards, who mated with them. Cat People look similar to humans, but must mate with other Cat People before they transform into panthers. Irene Gallier was raised by adoptive parents and meets her older brother Paul for the first time since childhood. We follow brother and sister - who seem to be the only ones of their kind left.","['Fantasy', 'Horror', 'Thriller']"
Sorority Row,"""Sorority Row"" sees a group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.","['Horror', 'Mystery']"
The Prisoner of Zenda,"It's the late nineteenth century. British Major Rudolf Rassendyll is in central Europe on a fishing vacation, he having no intention of attending what is the reason others are in the country, namely the coronation of Rudolf V to the throne the following day. In a chance encounter with Rudolf V and two of his longtime trusted advisers, Colonel Zapt and Fritz von Tarlenheim, in the countryside, Rassendyll discovers that he and the future King are not only distant cousins, hence both having the long held family male given name of Rudolf, but that they could be twins. Spending the evening with the three men, Rassendyll further discovers the future king is an irresponsible heavy drinker, something that his older half brother, Michael, wants to use to ascend to the throne himself. Michael, using his own operatives, has managed to drug Rudolf, heavily enough to miss the coronation ceremony, at which time Michael plans to address the people to name him king instead. With risk to all three of their lives if discovered, Zapt and von Tarlenheim are able to convince Rassendyll to masquerade as Rudolf at the coronation. Another risk is Michael using other means to dispose of who he believes is his brother. Michael, however, has other issues with which he has to address. Antoinette de Mauban, Michael's girlfriend, does not want him to be king as such would mean marriage to who has been the king's long ago named betrothed, namely Rudolf and Michael's cousin, Princess Flavia. In turn, another of Michael's operatives, Rupert of Hentzau, is in love with Antoinette himself, and thus has his own self-directed motivations different than Michael's. Conversely, other complications arise as Rassendyll, in posing as his cousin, falls in love with Princess Flavia himself. Flavia, who has had a long relationship of animosity with Rudolf who she does not love let alone really like, has fallen in love with this new version of Rudolf. She may be torn if she ever discovers the truth of the deception as she has long been bound a sense of duty, which means marrying the king, whoever he may be.","['Adventure', 'Drama', 'Romance']"
Lars and the Real Girl,"In this comedy, Lars Lindstrom is an awkwardly shy young man in a small northern town who finally brings home the girl of his dreams to his brother and sister-in-law's home. The only problem is that she's not real - she's a sex doll Lars ordered off the Internet. But sex is not what Lars has in mind, but rather a deep, meaningful relationship. His sister-in-law is worried for him, his brother thinks he's nuts, but eventually the entire town goes along with his delusion in support of this sweet natured boy that they've always loved.","['Comedy', 'Drama', 'Romance']"
The Boy in the Striped Pajamas,"Bruno an eight-year-old boy from Berlin, Germany is moved with his mother, Elder sister, SS Commander father to a countryside in Europe where his father powers over a concentration camp for Jews. Bruno went ""exploring"" one day and befriended a child his age named Shmuel. Shmuel was a Jew. The boy became good friends until Bruno was scheduled to move to a new location.","['Drama', 'War']"
Dancer in the Dark,"In small-town Washington state in 1964, Czechoslovakian immigrant Selma Jezková and her preteen son Gene live in a rented trailer owned by Bill and Linda Houston; Bill is the town sheriff. Selma also has a small group of friends, including her co-worker and primary confidante Kathy, and Jeff, who wants to be her boyfriend. Jeff regularly waits outside Selma's workplace to drive her home, although she always refuses, not wishing to lead him on. Her primary job is working on the Anderson Tool factory assembly line, but she does whatever else she can to earn money. What only Kathy knows among Selma's friends is that she is slowly going blind from a genetic medical condition. She can see just enough to be able to do her job. Her primary reason for moving to the USA and working all the time is to earn enough money for an operation for Gene when he turns 13; he knows nothing about his mother's or his own degenerative eyesight. Selma allows only one indulgence in her life: anything to do with musicals which she loves, because they're an escape from her bleak life. Kathy often takes her to the cinema to watch old musicals and must describe to her what's happening on the screen, to the other patrons' annoyance. Selma also has the role of Maria in a community-theatre production of ""The Sound of Music."" Close to having enough money for the operation, Selma races against time before she loses enough sight to lose her job and her role in the musical. What may also threaten Selma's goal of the operation for Gene is some financial problems facing Bill, who feels pressured to provide Linda with the comforts of life to which she's accustomed.","['Crime', 'Drama', 'Musical']"
Oscar and Lucinda,"In mid-1800s England, Oscar is a young Anglican priest, a misfit and an outcast, but with the soul of an angel. As a boy, even though from a strict Pentecostal family, he felt God told him through a sign to leave his father and his faith and join the Church of England. Lucinda is a teen-aged Australian heiress who has an almost desperate desire to liberate her sex from the confines of the male-dominated culture of the Australia of that time. She buys a glass factory and has a dream of building a church made almost entirely of glass, and then transporting it to Bellingen, a remote settlement on the north coast. Oscar and Lucinda meet on a ship going to Australia; once there, they are for different reasons ostracized from society, and as a result ""join forces"" together. Oscar and Lucinda are both passionate gamblers, and Lucinda bets Oscar her entire inheritance that he cannot transport the glass church to the Outback safely. Oscar accepts her wager, and this leads to the events that will change both their lives forever.","['Drama', 'Romance']"
The Funeral,"In the 30's, in New York, the coffin of the leftist gangster Johnny Tempio is brought to the house of his older brother Ray for the wake of family and friends. Ray is a cold gangster that likes to read and is married to Jean. His brother Chez is a hot head that runs a bar and is married to Clara . Ray decides to revenge the murder of his younger brother and believes the gangster Gaspare is the one who killed Johnny. Meanwhile Chez has a breakdown with tragic consequences for the Tempio brothers.","['Crime', 'Drama']"
Solitary Man,"Ben Kalman is aging: he has heart problems, his marriage is over, he's lost a fortune after being caught cutting corners in his East Coast car business, and he's sleeping with as many women as possible - the younger the better. He's chosen his current girlfriend, Jordan, because her father can help him get a new auto dealership; she's asked him to escort her daughter, Allyson, 18, on a visit to a Boston college campus. He behaves badly, and there are consequences to his love life, his finances, and his relationship with his daughter and grandson. Is there anywhere he can turn?","['Comedy', 'Drama', 'Romance']"
Machete,"The highly skilled Federale Machete is hired by some unsavory types to assassinate a senator. But just as he's about to take the shot, he notices someone aiming at him and realizes he's been set up. He barely survives the sniper's bullet, and is soon out for revenge on his former employers, with the reluctant assistance of his brother Cheech Marin, who has become a priest and taken a vow of nonviolence. If you hire him to take out the bad guys, make sure the bad guys aren't you!","['Action', 'Crime', 'Thriller']"
Casino Jack,A hot shot Washington DC lobbyist and his protégé go down hard as their schemes to peddle influence lead to corruption and murder.,"['Biography', 'Comedy', 'Crime', 'Drama']"
The Land Before Time,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles and the evil predator Sharptooth as they learn to work together in order to survive.","['Animation', 'Adventure', 'Drama', 'Family']"
Tae Guk Gi: The Brotherhood of War,"In 1950, in South Korea, shoe-shiner Jin-tae Lee and his 18-year-old old student brother, Jin-seok Lee, form a poor but happy family with their mother, Jin-tae's fiancé Young-shin Kim, and her young sisters. Jin-tae and his mother are tough workers, who sacrifice themselves to send Jin-seok to the university. When North Korea invades the South, the family escapes to a relative's house in the country, but along their journey, Jin-seok is forced to join the army to fight in the front, and Jin-tae enlists too to protect his young brother. The commander promises Jin-tae that if he gets a medal he would release his brother, and Jin-tae becomes the braver soldier in the company. Along the bloody war between brothers, the relationship of Jin-seok with his older brother deteriorates leading to a dramatic and tragic end.","['Action', 'Drama', 'War']"
The Perfect Game,"Based on a true story. In 1957 a ragtag, shoeless, poor group of kids from Monterrey, Mexico shocked the world by winning 13 games in a row and the Little League World Series in the only perfect game ever pitched in the Championship. Led by their priest and a down-and-out former major leaguer, these kids embark on a journey through the southern US and up into Williamsport, Pennsylvania for the Championship game. They encountered many adversities including nearly being deported and the bigotry that wouldn't allow them into certain restaurants or onto certain buses. They never lost their faith and eventually captured the hearts of both nations. This is a heart-warming inspirational story in the tradition of ""Rudy"", ""Hoosiers"", ""Coach Carter"" or ""Friday Night Lights"".","['Comedy', 'Drama', 'Family', 'Sport']"
The Exorcist,"A visiting actress in Washington, D.C., notices dramatic and dangerous changes in the behavior and physical make-up of her 12-year-old daughter. Meanwhile, a young priest at nearby Georgetown University begins to doubt his faith while dealing with his mother's terminal sickness. And a frail, elderly priest recognizes the necessity for a show-down with an old demonic enemy.",['Horror']
Jaws,"It's a hot summer on Amity Island, a small community whose main business is its beaches. When new Sheriff Martin Brody discovers the remains of a shark attack victim, his first inclination is to close the beaches to swimmers. This doesn't sit well with Mayor Larry Vaughn and several of the local businessmen. Brody backs down to his regret as that weekend a young boy is killed by the predator. The dead boy's mother puts out a bounty on the shark and Amity is soon swamped with amateur hunters and fisherman hoping to cash in on the reward. A local fisherman with much experience hunting sharks, Quint, offers to hunt down the creature for a hefty fee. Soon Quint, Brody and Matt Hooper from the Oceanographic Institute are at sea hunting the Great White shark. As Brody succinctly surmises after their first encounter with the creature, they're going to need a bigger boat.","['Adventure', 'Mystery', 'Thriller']"
American Pie,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always ends up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? Or will they learn something much different?",['Comedy']
Ernest & Celestine,"There is a world where the Bears live above ground in their cities and the rodents live below in their underground ones in mutual fear and hate. However, Celestine, an apprentice mouse dentist, finds at least momentary common cause with Ernest, a poor street Bear musician, that gets them rejected from both their respective worlds. In spite of this misfortune, the exiles find a growing friendship between themselves as their respective talents flower because of it. Despite this, their quietly profound challenge to the founding prejudices of their worlds cannot be ignored as the authorities track them down. When that happens, Ernest and Celestine must stand up for their love in the face of such bigotry and achieve the impossible.","['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy']"
The Golden Child,"Eddie Murphy plays a detective with a speciality of finding lost children. He is told he is the 'Chosen one' who will find and protect the Golden Child, a Bhuddist mystic who was kidnapped by an evil sorcerer. Murphy disbelieves the mysticism but finds more and more evidence of demon worship as he investigates.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']"
Think Like a Man,"Four women have given up on getting their men to do what they want until they find a how to book written by Steve Harvey. They start using his advice about relationships, and their men start falling in line, until the men discover what the women have been doing, then the war is on.","['Comedy', 'Romance']"
Barbershop,"A day in the life of a barbershop on the south side of Chicago. Calvin, who inherited the struggling business from his deceased father, views the shop as nothing but a burden and waste of his time. After selling the shop to a local loan shark, Calvin slowly begins to see his father's vision and legacy and struggles with the notion that he just sold it out. The barbershop is filled with characters who share their stories, jokes, trials and tribulations. In the shop we find Eddie, an old barber with strong opinions and no customers. Jimmy is a highly educated barber with a superiority complex who can't stand Isaac, the new, white barber who just wants a shot at cutting some hair. Ricky is an ex-con with two strikes against him and is desperately trying to stay straight. Terri is a hard-edged woman who can't seem to leave her two-timing boyfriend. And lastly there's Dinka, a fellow barber who is madly in love with Terri but doesn't get the time of day.","['Comedy', 'Drama']"
Star Trek II: The Wrath of Khan,"It is the 23rd century. Admiral James T. Kirk is an instructor at Starfleet Academy and feeling old; the prospect of attending his ship, the USS Enterprise--now a training ship--on a two-week cadet cruise does not make him feel any younger. But the training cruise becomes a deadly serious mission when his nemesis Khan Noonien Singh--infamous conqueror from late 20th century Earth--appears after years of exile. Khan later revealed that the planet Ceti Alpha VI exploded, and shifted the orbit of the fifth planet as a Mars-like haven. He begins capturing Project Genesis, a top secret device holding the power of creation itself, and schemes the utter destruction of Kirk.","['Action', 'Adventure', 'Sci-Fi']"
Ace Ventura: Pet Detective,"To be a Pet Detective, you have to understand both the criminals and animals. Ace Ventura goes even further... He behaves like a criminal animal. When a football team's mascot (a dolphin) is stolen just before the Superbowl, Ace Ventura is put on the case. Now, who would want to steal a dolphin, and why?",['Comedy']
WarGames,"A young computer whiz kid accidentally connects into a top secret super-computer which has complete control over the U.S. nuclear arsenal. It challenges him to a game between America and Russia, and he innocently starts the countdown to World War 3. Can he convince the computer he wanted to play a game and not the real thing ?","['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Witness,"An 8 year old Amish boy and his mother are traveling to Philadelphia, on their way to visit the mother's sister. While waiting at the train station, the young boy witnesses a brutal murder inside one of the bathroom stalls. Police detective John Book is assigned to investigate the murder of the man, who was an undercover cop. Soon after, Book finds out that he's in great danger when the culprits know about his investigation and hides out in the Amish community. There, he learns the way of living among the Amish locals, which consists of non-violence and agriculture. Book soon starts a romance with the mother of the little boy, but their romance is forbidden by the Amish standards. But, it's not long before the bad guys find out Book's whereabouts.","['Drama', 'Romance', 'Thriller']"
Act of Valor,"An unprecedented blend of real-life heroism and original filmmaking, Act of Valor stars a group of active-duty Navy SEALs in a powerful story of contemporary global anti-terrorism. Inspired by true events, the film combines stunning combat sequences, up-to-the minute battlefield technology and heart-pumping emotion for the ultimate action adventure. Act of Valor takes audiences deep into the secretive world of the most elite, highly trained group of warriors in the modern world. When the rescue of a kidnapped CIA operative leads to the discovery of a deadly terrorist plot against the U.S., a team of SEALs is dispatched on a worldwide manhunt. As the valiant men of Bandito Platoon race to stop a coordinated attack that could kill and wound thousands of American civilians, they must balance their commitment to country, team and their families back home. Each time they accomplish their mission, a new piece of intelligence reveals another shocking twist to the deadly terror plot, which stretches from Chechnya to the Philippines and from Ukraine to Somalia. The widening operation sends the SEALs across the globe as they track the terrorist ring to the U.S.-Mexico border, where they engage in an epic firefight with an outcome that has potentially unimaginable consequences for the future of America.","['Action', 'Adventure', 'Thriller', 'War']"
Step Up,"In Baltimore, the troublemaker and street dancer Tyler Gage lives with his foster parents in a lower class neighborhood. His best friends are Mac Carter and his little brother Skinny Carter and they used to hang around together, going to parties and stealing cars. After being expelled from a party, the trio breaks in the Maryland School of Arts and commits vandalism, destroying the stage. Tyler is arrested and sentenced to 200 hours of community service in the school and Director Gordon assigns him to help the janitor cleaning the place. One afternoon, the ballet dancer Nora Clark sees Tyler dancing in the parking area and when her partner Andrew has a strain and Tyler offers to help her in the choreography, she accepts the offer; they rehearsal and become close to each other while Tyler becomes friend of the students Miles Darby and Lucy Avila. When Andrew returns, Tyler that is known for quitting everything he starts gives up dancing and leaves Nora alone. After an incident, Tyler has to decide to follow his dream or return to his life of rebel loser.","['Crime', 'Drama', 'Music', 'Romance']"
Beavis and Butt-Head Do America,"Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score. On the way they encounter a murderous smuggler of a deadly virus and his treacherous wife, an FBI agent with a predilection for cavity searches, a couple of rather familiar looking ex-Motley Crue roadies, Mr. Van Dreesen singing ""Lesbian Seagull"", a little old lady and of course Mr. Anderson and his trailer. Can the Great Cornholio save the day? Uh-huh. Huh-huh.","['Animation', 'Adventure', 'Comedy', 'Crime', 'Music']"
Jackie Brown,"The middle-aged stewardess Jackie Brown smuggles money from Mexico to Los Angeles for the arms dealer Ordell Robbie. When she gets caught by the agents Ray Nicolet and Mark Dargus with ten thousand dollars and cocaine in her purse, they propose a deal to her to help them to arrest Ordell in exchange of her freedom. Meanwhile Ordell asks the 56-year-old Max Cherry, who runs a bail bond business, to release Jackie Brown with the intention of eliminating her. Jackie suspects of Ordell's intention and plots a complicated confidence game with Max to steal half a million dollars from Ordell.","['Crime', 'Drama', 'Thriller']"
Harold & Kumar Escape from Guantanamo Bay,"The morning they return from their White Castle road trip, Harold and Kumar decide to go to Amsterdam because Harold doesn't want to wait ten days to see Maria again. On the plane, Kumar lights up his new bong, the air marshals think it's a bomb, and Harold and Kumar are arrested as terrorists and sent to Guantanamo Bay. They manage to escape, make their way to Florida, and head for Texas to find Kumar's ex-girlfriend's fiancé, the well-connected Colton, and get him to intercede with Washington on their behalf. Kumar still has a thing for Vanessa, the feds are in hot pursuit, and the legal weed of Amsterdam seems a long way away.","['Adventure', 'Comedy']"
Chronicle,"The shy, lonely and outcast teenager Andrew Detmer is bullied and has no friends at high-school and lives with his abusive and alcoholic father Richard Detmer and his terminally ill mother Karen. Andrew buys a camera to film his everyday life. His cousin Matt Garetty drives him to school and invites Andrew to go to a party at night. Nearby they find a tunnel and suddenly acquire telekinetic abilities and Andrew becomes the most powerful. But he easily loses his temper and becomes dangerous while Matt tries to control him. When his mother needs a medicine and Andrew does not have enough money to buy it, his darker side overwhelms him and he becomes a menace.","['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Yentl,"Eastern Europe, 1904. A Jewish woman, Yentl, has a thirst for knowledge but is prohibited from learning due to the restrictions of her religion. When her father dies, she sets off to increase her knowledge, posing as a man in order to gain admission to a Jewish religious school.","['Drama', 'Musical', 'Romance']"
